node_id,node_type,zone_id,side,has_kansen,has_sidou,lon,lat,intersection_type,is_signalized,juusin_kansen,juusin_sidou,priority,notes
B-513243481-S,BOUNDARY,513243481,S,1,1,,,,,,,1.0,
B-513243481-W,BOUNDARY,513243481,W,1,1,,,,,,,1.0,
B-513243482-E,BOUNDARY,513243482,E,0,1,,,,,,,1.0,
B-513243482-N,BOUNDARY,513243482,N,1,1,,,,,,,1.0,
B-513243482-S,BOUNDARY,513243482,S,1,1,,,,,,,1.0,
B-513243482-W,BOUNDARY,513243482,W,1,1,,,,,,,1.0,
B-513243483-E,BOUNDARY,513243483,E,1,1,,,,,,,1.0,
B-513243483-N,BOUNDARY,513243483,N,1,1,,,,,,,1.0,
B-513243483-S,BOUNDARY,513243483,S,1,1,,,,,,,1.0,
B-513243483-W,BOUNDARY,513243483,W,1,1,,,,,,,1.0,
B-513243484-E,BOUNDARY,513243484,E,1,1,,,,,,,1.0,
B-513243484-N,BOUNDARY,513243484,N,1,1,,,,,,,1.0,
B-513243484-S,BOUNDARY,513243484,S,1,1,,,,,,,1.0,
B-513243484-W,BOUNDARY,513243484,W,1,1,,,,,,,1.0,
B-513243491-E,BOUNDARY,513243491,E,0,0,,,,,,,1.0,
B-513243491-N,BOUNDARY,513243491,N,0,0,,,,,,,1.0,
B-513243491-S,BOUNDARY,513243491,S,0,0,,,,,,,1.0,
B-513243491-W,BOUNDARY,513243491,W,0,1,,,,,,,1.0,
B-513243493-E,BOUNDARY,513243493,E,0,0,,,,,,,1.0,
B-513243493-N,BOUNDARY,513243493,N,0,0,,,,,,,1.0,
B-513243493-S,BOUNDARY,513243493,S,0,0,,,,,,,1.0,
B-513243493-W,BOUNDARY,513243493,W,1,1,,,,,,,1.0,
B-513243532-E,BOUNDARY,513243532,E,1,1,,,,,,,1.0,
B-513243532-N,BOUNDARY,513243532,N,0,0,,,,,,,1.0,
B-513243532-S,BOUNDARY,513243532,S,0,0,,,,,,,1.0,
B-513243532-W,BOUNDARY,513243532,W,0,0,,,,,,,1.0,
B-513243534-E,BOUNDARY,513243534,E,1,1,,,,,,,1.0,
B-513243534-N,BOUNDARY,513243534,N,1,0,,,,,,,1.0,
B-513243534-S,BOUNDARY,513243534,S,0,0,,,,,,,1.0,
B-513243534-W,BOUNDARY,513243534,W,0,0,,,,,,,1.0,
B-513243541-E,BOUNDARY,513243541,E,1,1,,,,,,,1.0,
B-513243541-N,BOUNDARY,513243541,N,1,1,,,,,,,1.0,
B-513243541-S,BOUNDARY,513243541,S,1,1,,,,,,,1.0,
B-513243541-W,BOUNDARY,513243541,W,1,1,,,,,,,1.0,
B-513243542-E,BOUNDARY,513243542,E,1,1,,,,,,,1.0,
B-513243542-N,BOUNDARY,513243542,N,1,1,,,,,,,1.0,
B-513243542-S,BOUNDARY,513243542,S,1,1,,,,,,,1.0,
B-513243542-W,BOUNDARY,513243542,W,1,1,,,,,,,1.0,
B-513243543-E,BOUNDARY,513243543,E,1,1,,,,,,,1.0,
B-513243543-N,BOUNDARY,513243543,N,1,1,,,,,,,1.0,
B-513243543-S,BOUNDARY,513243543,S,1,1,,,,,,,1.0,
B-513243543-W,BOUNDARY,513243543,W,1,1,,,,,,,1.0,
B-513243544-E,BOUNDARY,513243544,E,1,1,,,,,,,1.0,
B-513243544-N,BOUNDARY,513243544,N,1,1,,,,,,,1.0,
B-513243544-S,BOUNDARY,513243544,S,1,1,,,,,,,1.0,
B-513243544-W,BOUNDARY,513243544,W,1,1,,,,,,,1.0,
B-513243551-E,BOUNDARY,513243551,E,0,1,,,,,,,1.0,
B-513243551-N,BOUNDARY,513243551,N,1,1,,,,,,,1.0,
B-513243551-S,BOUNDARY,513243551,S,1,1,,,,,,,1.0,
B-513243551-W,BOUNDARY,513243551,W,1,1,,,,,,,1.0,
B-513243552-E,BOUNDARY,513243552,E,1,1,,,,,,,1.0,
B-513243552-N,BOUNDARY,513243552,N,1,1,,,,,,,1.0,
B-513243552-S,BOUNDARY,513243552,S,1,1,,,,,,,1.0,
B-513243552-W,BOUNDARY,513243552,W,0,1,,,,,,,1.0,
B-513243553-E,BOUNDARY,513243553,E,1,1,,,,,,,1.0,
B-513243553-N,BOUNDARY,513243553,N,1,1,,,,,,,1.0,
B-513243553-S,BOUNDARY,513243553,S,1,1,,,,,,,1.0,
B-513243553-W,BOUNDARY,513243553,W,1,1,,,,,,,1.0,
B-513243554-E,BOUNDARY,513243554,E,1,1,,,,,,,1.0,
B-513243554-N,BOUNDARY,513243554,N,1,1,,,,,,,1.0,
B-513243554-S,BOUNDARY,513243554,S,1,1,,,,,,,1.0,
B-513243554-W,BOUNDARY,513243554,W,1,1,,,,,,,1.0,
B-513243561-E,BOUNDARY,513243561,E,1,1,,,,,,,1.0,
B-513243561-N,BOUNDARY,513243561,N,1,1,,,,,,,1.0,
B-513243561-S,BOUNDARY,513243561,S,1,1,,,,,,,1.0,
B-513243561-W,BOUNDARY,513243561,W,1,1,,,,,,,1.0,
B-513243562-E,BOUNDARY,513243562,E,0,0,,,,,,,1.0,
B-513243562-N,BOUNDARY,513243562,N,1,1,,,,,,,1.0,
B-513243562-S,BOUNDARY,513243562,S,1,1,,,,,,,1.0,
B-513243562-W,BOUNDARY,513243562,W,1,1,,,,,,,1.0,
B-513243563-E,BOUNDARY,513243563,E,1,0,,,,,,,1.0,
B-513243563-N,BOUNDARY,513243563,N,1,1,,,,,,,1.0,
B-513243563-S,BOUNDARY,513243563,S,1,1,,,,,,,1.0,
B-513243563-W,BOUNDARY,513243563,W,1,1,,,,,,,1.0,
B-513243564-E,BOUNDARY,513243564,E,1,1,,,,,,,1.0,
B-513243564-N,BOUNDARY,513243564,N,1,1,,,,,,,1.0,
B-513243564-S,BOUNDARY,513243564,S,1,1,,,,,,,1.0,
B-513243564-W,BOUNDARY,513243564,W,1,0,,,,,,,1.0,
B-513243571-E,BOUNDARY,513243571,E,1,1,,,,,,,1.0,
B-513243571-N,BOUNDARY,513243571,N,1,1,,,,,,,1.0,
B-513243571-S,BOUNDARY,513243571,S,1,1,,,,,,,1.0,
B-513243571-W,BOUNDARY,513243571,W,1,0,,,,,,,1.0,
