zone_id,side,centroid_id,juusin_kansen,juusin_sidou,bside_kansen_present,bside_sidou_present
513243473,W,513243473_C,tran_1d31c9ab-ced1-4984-83c8-db6d85831c78,tran_2f0653a2-46dd-407c-bd22-6225abd81841,1,1
513243474,N,513243474_C,tran_940f985f-4103-4538-a845-558c72f6cda9,tran_db223364-d89f-4b6b-882f-c001a421cf76,1,1
513243474,E,513243474_C,tran_940f985f-4103-4538-a845-558c72f6cda9,tran_db223364-d89f-4b6b-882f-c001a421cf76,1,1
513243474,S,513243474_C,tran_940f985f-4103-4538-a845-558c72f6cda9,tran_db223364-d89f-4b6b-882f-c001a421cf76,1,1
513243474,W,513243474_C,tran_940f985f-4103-4538-a845-558c72f6cda9,tran_db223364-d89f-4b6b-882f-c001a421cf76,1,1
513243481,N,513243481_C,18556,18548,1,1
513243481,E,513243481_C,18556,18548,1,1
513243481,S,513243481_C,18556,18548,1,1
513243481,W,513243481_C,18556,18548,1,1
513243482,N,513243482_C,17800,17796,1,1
513243482,E,513243482_C,17800,17796,0,1
513243482,S,513243482_C,17800,17796,1,1
513243482,W,513243482_C,17800,17796,1,1
513243483,N,513243483_C,18052,18264,1,1
513243483,E,513243483_C,18052,18264,1,1
513243483,S,513243483_C,18052,18264,1,1
513243483,W,513243483_C,18052,18264,1,1
513243484,N,513243484_C,18023,18035,1,1
513243484,E,513243484_C,18023,18035,1,1
513243484,S,513243484_C,18023,18035,1,1
513243484,W,513243484_C,18023,18035,1,1
513243491,N,513243491_C,0,18609,0,0
513243491,E,513243491_C,0,18609,0,0
513243491,S,513243491_C,0,18609,0,0
513243491,W,513243491_C,0,18609,0,1
513243493,N,513243493_C,18072,17971,0,0
513243493,E,513243493_C,18072,17971,0,0
513243493,S,513243493_C,18072,17971,0,0
513243493,W,513243493_C,18072,17971,1,1
513243532,N,513243532_C,6963,6987,0,0
513243532,E,513243532_C,6963,6987,1,1
513243532,S,513243532_C,6963,6987,0,0
513243532,W,513243532_C,6963,6987,0,0
513243534,N,513243534_C,6756,6775,1,0
513243534,E,513243534_C,6756,6775,1,1
513243534,S,513243534_C,6756,6775,0,0
