zone_id,segments_total,count_Nat,count_Pref,count_Muni,count_Other,len_Nat_m,len_Pref_m,len_Muni_m,len_Other_m,length_total_m,score,kyoukaikukaku_kansen,kyoukaikukaku_sidouseikatudou,juusinkukaku_kansen,juusinkukaku_sidouseikatudou,kyoukaikukaku_kansen_left,kyoukaikukaku_kansen_right,kyoukaikukaku_kansen_bottom,kyoukaikukaku_kansen_top,kyoukaikukaku_sidouseikatudou_left,kyoukaikukaku_sidouseikatudou_right,kyoukaikukaku_sidouseikatudou_bottom,kyoukaikukaku_sidouseikatudou_top
513243844,88,14,25,40,9,1707.58,1622.76,1252.49,112.73,4695.56,23.74,12559_12612_12631_12601,12694_12530_12600,12581,12808,12559,12612,12631,12601,,12694,12530,12600
513243851,11,2,3,6,0,607.7,182.47,373.16,0.0,1163.33,25.66,12612_3055_3050,12477_3052,3047,3052,12612,3055,3050,,12477,,3052,
513243852,7,1,2,4,0,133.54,33.53,297.03,0.0,464.1,51.2,3055_3171,4181_3051,3192,3051,3055,,3171,,,4181,3051,
513243853,6,1,2,3,0,474.16,145.79,115.34,0.0,735.29,12.55,12601_12612,12694_14054,12701,14054,12601,,12612,,12694,,,14054
513243854,7,4,1,2,0,177.87,39.43,94.67,0.0,311.97,24.28,4318_14452,4317_14457,4205,14457,,4318,,14452,,4317,,14457
513243861,63,19,16,28,0,2403.32,733.39,973.41,0.0,4110.12,18.95,4188_13880_4187,4181_4152,4159,4306,,4188,13880,4187,4181,,4152,
513243862,29,17,8,3,1,2236.16,463.32,59.93,5.56,2764.97,1.94,4188_4164_13884_4185,4402,4386,4173,4188,4164,13884,4185,,,,4402
513243863,98,17,33,48,0,1520.21,1805.36,1509.5,0.0,4835.07,24.98,4318_4272_4187_17050,4317_4286,4295,4219,4318,4272,4187,17050,4317,,,4286
513243864,107,26,42,27,12,2691.39,1883.41,903.5,161.73,5640.03,15.68,4272_4190_4185_4287,4248_4402_12021,4366,4203,4272,4190,4185,4287,,4248,4402,12021
513243871,52,22,21,9,0,2410.08,1117.16,426.45,0.0,3953.69,8.63,4164_12377_12366_12271,12221,12252,12400,4164,12377,12366,12271,,12221,,
513243872,167,30,55,65,17,3171.34,2620.11,1856.53,192.06,7840.04,21.39,12377_4709_16797_12398,12221_4560_16688_12389,12317,12246,12377,4709,16797,12398,12221,4560,16688,12389
513243873,238,13,95,117,13,1075.66,3997.21,3730.2,173.58,8976.65,35.18,4209_11923_12271_7174,4248_7194,12111,12112,4209,11923,12271,7174,4248,,,7194
513243874,168,13,26,87,42,1189.21,1086.87,2741.67,418.95,5436.7,48.05,11923_11849_12398_7195,12082_12389_12029,11884,12176,11923,11849,12398,7195,,12082,12389,12029
513243881,148,16,70,53,9,1519.79,4050.78,1807.98,93.33,7471.88,20.61,4623_4659_4670_4549,4560_4649_4660_4570,4556,4778,4623,4659,4670,4549,4560,4649,4660,4570
513243882,107,8,19,61,19,624.48,1164.42,1737.21,252.86,3778.97,43.47,4659_4771_4557_4711,4649_4597_4700_4777,4655,4603,4659,4771,4557,4711,4649,4597,4700,4777
513243883,86,28,12,28,18,1788.85,675.01,974.35,173.76,3611.97,26.39,11849_4422_4549_11282,12082_4412_4570_10464,4425,4712,11849,4422,4549,11282,12082,4412,4570,10464
513243884,95,15,15,60,5,940.66,765.98,1534.03,65.94,3306.61,39.11,4422_4711_4471,4777_4470,4435,4427,4422,,4711,4471,,,4777,4470
513243891,2,1,0,1,0,70.86,0.0,9.59,0.0,80.45,9.54,4771,4597,4771,4597,4771,,,,4597,,,
513243942,3,0,2,1,0,0.0,175.25,57.26,0.0,232.51,19.7,12601,12600,12602,12600,,,12601,,,,12600,
513243944,2,0,1,1,0,0.0,82.07,16.67,0.0,98.74,13.51,14252,14243,14252,14243,,14252,,,,14243,,
513243951,85,29,20,22,14,2677.0,1577.68,648.62,184.84,5088.14,13.83,14239_14376,14054,14079,14391,,14239,,14376,,,14054,
513243952,136,14,40,76,6,1448.84,2029.46,2442.28,73.53,5994.11,33.82,14239_14116_14452_14154,14432_14457_14356,14094,14458,14239,14116,14452,14154,,14432,14457,14356
513243953,104,18,32,46,8,1534.51,1760.56,1101.25,137.28,4533.6,22.46,14252_14175_14376_14235,14243_14180,14278,14334,14252,14175,14376,14235,14243,14180,,
513243954,130,17,43,62,8,1524.28,2536.04,1649.68,150.35,5860.35,25.09,14175_14242_14216_14231,14180_14144_14356_14315,14353,14162,14175,14242,14216,14231,14180,14144,14356,14315
513243961,214,23,88,98,5,1202.01,3677.02,3390.4,69.21,8338.64,33.36,14116_17094_17050_17188,14432_17629_4286_17198,17083,17097,14116,17094,17050,17188,14432,17629,4286,17198
513243962,131,26,51,48,6,1738.91,2325.56,1522.68,66.8,5653.95,22.73,17073_7907_4287_17208,17629_17047_17206,17656,17660,17073,7907,4287,17208,17629,,17047,17206
513243963,250,11,101,128,10,671.74,3893.97,4148.79,112.91,8827.41,38.88,14242_17317_17188_17371,14144_17225_17198_17376,17250,17270,14242,17317,17188,17371,14144,17225,17198,17376
513243964,138,7,48,79,4,659.22,2377.52,2270.63,60.53,5367.9,34.97,17439_17208_17380,17200_17206_17375,17481,17479,17439,,17208,17380,17200,,17206,17375
513243971,266,32,53,136,45,2247.18,2070.49,4085.03,625.46,9028.16,43.13,7907_7202_7174_7796,7294_12030_7406,7757,7756,7907,7202,7174,7796,,7294,12030,7406
513243972,273,21,50,166,36,1027.6,2475.84,5999.21,578.9,10081.55,53.35,7202_10570_7195_7409,7194_7243_12029_7436,7310,7267,7202,10570,7195,7409,7194,7243,12029,7436
513243973,135,17,30,52,36,1842.76,1434.71,1624.63,670.68,5572.78,35.36,7519_7796_7516,7420_7406,7485,7608,,7519,7796,7516,,7420,7406,
513243974,184,26,30,103,25,1523.54,1407.13,3053.1,357.79,6341.56,44.16,7519_7689_7409_7513,7420_10702_7436,7681,7466,7519,7689,7409,7513,7420,10702,7436,
513243981,369,10,52,187,120,678.79,2685.11,5456.42,1526.33,10346.65,56.94,10570_10659_11282_10658,7243_10509_10464_10657,11034,11170,10570,10659,11282,10658,7243,10509,10464,10657
513243982,153,10,36,86,21,649.39,1720.36,2638.47,216.45,5224.67,44.54,10501_4471_10692,10509_4470_10786,10556,11243,10501,,4471,10692,10509,,4470,10786
513243983,297,13,39,157,88,762.43,2182.26,4204.75,1267.52,8416.96,55.02,7689_10672_10658_10785,10702_10712_10657_10781,10719,10690,7689,10672,10658,10785,10702,10712,10657,10781
513243984,106,12,35,55,4,997.76,2027.24,1527.74,17.15,4569.89,27.12,10659_10692_10918,10712_10786,10783,10920,10659,,10692,10918,10712,,10786,
513253051,3,1,2,0,0,82.54,245.51,0.0,0.0,328.05,0.0,14234,,14233,,,,14234,,,,,
513253052,3,0,1,2,0,0.0,97.97,47.75,0.0,145.72,26.21,14231,14315,14231,14315,,,14231,,,,14315,
513253061,7,1,3,3,0,108.45,235.03,131.14,0.0,474.62,22.1,17371,17376,17373,17376,,,17371,,,,17376,
513253062,3,0,2,1,0,0.0,371.97,46.39,0.0,418.36,8.87,17380,17375,17468,17375,,,17380,,,,17375,
513253071,4,4,0,0,0,287.38,0.0,0.0,0.0,287.38,0.0,7519,,7519,,,,7519,,,,,
513253072,2,1,1,0,0,248.46,130.8,0.0,0.0,379.26,0.0,7513,,7513,,,,7513,,,,,
513253081,4,1,2,1,0,98.35,203.33,80.62,0.0,382.3,16.87,10785,10781,10785,10781,,,10785,,,,10781,
513253082,2,0,2,0,0,0.0,133.42,0.0,0.0,133.42,0.0,10918,,10778,,,,10918,,,,,
