period,period_window,from_class,to_class,from_lanes,to_lanes,base_transfer_penalty_sec,lane_drop_penalty_sec_per_lane,lane_add_penalty_sec_per_lane,penalty_sec,period_delay_multiplier,notes
AM_PEAK,07:00-09:59,Nat,Muni,2,1,6,2,1,8,1.2,
MIDDAY,10:00-16:59,Nat,Muni,2,1,6,2,1,8,1.0,
PM_PEAK,17:00-19:59,Nat,Muni,2,1,6,2,1,8,1.25,
NIGHT,20:00-06:59,Nat,Muni,2,1,6,2,1,8,0.7,
AM_PEAK,07:00-09:59,Nat,Muni,2,2,6,2,1,6,1.2,
MIDDAY,10:00-16:59,Nat,Muni,2,2,6,2,1,6,1.0,
PM_PEAK,17:00-19:59,Nat,Muni,2,2,6,2,1,6,1.25,
NIGHT,20:00-06:59,Nat,Muni,2,2,6,2,1,6,0.7,
AM_PEAK,07:00-09:59,Nat,Muni,2,3,6,2,1,7,1.2,
MIDDAY,10:00-16:59,Nat,Muni,2,3,6,2,1,7,1.0,
PM_PEAK,17:00-19:59,Nat,Muni,2,3,6,2,1,7,1.25,
NIGHT,20:00-06:59,Nat,Muni,2,3,6,2,1,7,0.7,
AM_PEAK,07:00-09:59,Nat,Muni,2,4,6,2,1,8,1.2,
MIDDAY,10:00-16:59,Nat,Muni,2,4,6,2,1,8,1.0,
PM_PEAK,17:00-19:59,Nat,Muni,2,4,6,2,1,8,1.25,
NIGHT,20:00-06:59,Nat,Muni,2,4,6,2,1,8,0.7,
AM_PEAK,07:00-09:59,Nat,Muni,3,1,6,2,1,10,1.2,
MIDDAY,10:00-16:59,Nat,Muni,3,1,6,2,1,10,1.0,
PM_PEAK,17:00-19:59,Nat,Muni,3,1,6,2,1,10,1.25,
NIGHT,20:00-06:59,Nat,Muni,3,1,6,2,1,10,0.7,
AM_PEAK,07:00-09:59,Nat,Muni,3,2,6,2,1,8,1.2,
MIDDAY,10:00-16:59,Nat,Muni,3,2,6,2,1,8,1.0,
PM_PEAK,17:00-19:59,Nat,Muni,3,2,6,2,1,8,1.25,
NIGHT,20:00-06:59,Nat,Muni,3,2,6,2,1,8,0.7,
AM_PEAK,07:00-09:59,Nat,Muni,3,3,6,2,1,6,1.2,
MIDDAY,10:00-16:59,Nat,Muni,3,3,6,2,1,6,1.0,
PM_PEAK,17:00-19:59,Nat,Muni,3,3,6,2,1,6,1.25,
NIGHT,20:00-06:59,Nat,Muni,3,3,6,2,1,6,0.7,
AM_PEAK,07:00-09:59,Nat,Muni,3,4,6,2,1,7,1.2,
MIDDAY,10:00-16:59,Nat,Muni,3,4,6,2,1,7,1.0,
PM_PEAK,17:00-19:59,Nat,Muni,3,4,6,2,1,7,1.25,
NIGHT,20:00-06:59,Nat,Muni,3,4,6,2,1,7,0.7,
AM_PEAK,07:00-09:59,Nat,Muni,4,1,6,2,1,12,1.2,
MIDDAY,10:00-16:59,Nat,Muni,4,1,6,2,1,12,1.0,
PM_PEAK,17:00-19:59,Nat,Muni,4,1,6,2,1,12,1.25,
NIGHT,20:00-06:59,Nat,Muni,4,1,6,2,1,12,0.7,
AM_PEAK,07:00-09:59,Nat,Muni,4,2,6,2,1,10,1.2,
MIDDAY,10:00-16:59,Nat,Muni,4,2,6,2,1,10,1.0,
PM_PEAK,17:00-19:59,Nat,Muni,4,2,6,2,1,10,1.25,
NIGHT,20:00-06:59,Nat,Muni,4,2,6,2,1,10,0.7,
AM_PEAK,07:00-09:59,Nat,Muni,4,3,6,2,1,8,1.2,
MIDDAY,10:00-16:59,Nat,Muni,4,3,6,2,1,8,1.0,
PM_PEAK,17:00-19:59,Nat,Muni,4,3,6,2,1,8,1.25,
