zone_id,segments_total,count_Nat,count_Pref,count_Muni,count_Other,len_Nat_m,len_Pref_m,len_Muni_m,len_Other_m,length_total_m,score,juusinkukaku_kansen,juusinkukaku_sidouseikatudou,kyoukaikukaku_kansen_left,kyoukaikukaku_kansen_right,kyoukaikukaku_kansen_bottom,kyoukaikukaku_kansen_top,kyoukaikukaku_sidouseikatudou_left,kyoukaikukaku_sidouseikatudou_right,kyoukaikukaku_sidouseikatudou_bottom,kyoukaikukaku_sidouseikatudou_top
513243493,4,3,0,0,1,303.28,0,0,18.46,321.74,5.74,18072,17971,18145,,,,17971,,,
513243532,5,1,1,3,0,96.65,22.74,86.62,0,206.01,33.64,6963,6987,,6986,,,,7134,,
513243534,7,2,3,2,0,838.07,238.95,166.42,0,1243.44,10.71,6756,6775,,6860,,9795,,6883,,
513243541,224,20,36,165,3,1976.9,1768.61,4582.3,49.9,8377.71,44.35,7015,7020,6986,6905,14728,6750,6987,6702,6566,6723
513243542,115,13,23,77,2,1616.57,1495.36,3163.78,27.44,6303.15,40.59,7049,6634,6905,2098,7154,7108,6715,6684,14729,6730
513243543,141,7,25,107,2,728.1,1983.18,4136.47,37.33,6885.08,48.61,6823,6780,6860,6773,6750,6901,6883,6857,6723,6906
513243544,183,12,21,137,13,1306.08,1483.12,4485.17,237.71,7512.08,50.93,6953,6952,6773,2371,7108,9989,6857,6803,6726,6899
513243551,158,10,28,114,6,920.27,1703.78,3912.61,121.83,6658.49,48.84,2110,2127,2098,,2057,2510,6684,2413,2072,2186
513243552,173,15,27,75,56,1187.88,1158.77,2987.53,1245.49,6579.67,55.25,2440,2122,,2173,2073,2636,2413,8697,2077,2180
513243553,187,17,97,70,3,1247.77,4384.14,2501.61,86.98,8220.5,25.4,2260,2520,2371,2484,2510,17,6803,2478,2186,3
513243554,146,12,68,62,4,860.25,3078.86,2290.63,114.78,6344.52,30.69,2494,2488,2484,8793,2636,21,2478,2299,8785,2369
