node_id,node_type,zone_id,side,has_kansen,has_sidou,lon,lat,intersection_type,is_signalized,juusin_kansen,juusin_sidou,priority,notes
B-513243393-E,BOUNDARY,513243393,E,0.0,0.0,,,,,,,1.0,
B-513243393-N,BOUNDARY,513243393,N,0.0,0.0,,,,,,,1.0,
B-513243393-S,BOUNDARY,513243393,S,0.0,0.0,,,,,,,1.0,
B-513243393-W,BOUNDARY,513243393,W,0.0,1.0,132.48746418242004,34.363354011960084,,,,,1.0,
B-513243434-E,BOUNDARY,513243434,E,1.0,1.0,132.42525515349692,34.37354541931263,,,,,1.0,
B-513243434-N,BOUNDARY,513243434,N,0.0,0.0,,,,,,,1.0,
B-513243434-S,BOUNDARY,513243434,S,0.0,0.0,,,,,,,1.0,
B-513243434-W,BOUNDARY,513243434,W,0.0,0.0,,,,,,,1.0,
B-513243441-E,BOUNDARY,513243441,E,1.0,1.0,132.43065016730705,34.36884458955731,,,,,1.0,
B-513243441-N,BOUNDARY,513243441,N,1.0,1.0,132.4309521226165,34.37080843971946,,,,,1.0,
B-513243441-S,BOUNDARY,513243441,S,1.0,1.0,132.4289229853316,34.3666566617728,,,,,1.0,
B-513243441-W,BOUNDARY,513243441,W,0.0,0.0,,,,,,,1.0,
B-513243442-E,BOUNDARY,513243442,E,1.0,1.0,132.43735112803145,34.36957745595833,,,,,1.0,
B-513243442-N,BOUNDARY,513243442,N,1.0,1.0,132.43703752941371,34.3707635896764,,,,,1.0,
B-513243442-S,BOUNDARY,513243442,S,1.0,1.0,132.43280251690285,34.36678578601041,,,,,1.0,
B-513243442-W,BOUNDARY,513243442,W,1.0,1.0,132.43065016730705,34.36884458955731,,,,,1.0,
B-513243443-E,BOUNDARY,513243443,E,1.0,0.0,132.43063783846236,34.37238091061852,,,,,1.0,
B-513243443-N,BOUNDARY,513243443,N,1.0,1.0,132.42673733399192,34.3752490574786,,,,,1.0,
B-513243443-S,BOUNDARY,513243443,S,1.0,1.0,132.4309521226165,34.37080843971946,,,,,1.0,
B-513243443-W,BOUNDARY,513243443,W,1.0,1.0,132.42525515349692,34.37354541931263,,,,,1.0,
B-513243444-E,BOUNDARY,513243444,E,1.0,1.0,132.43777429974804,34.37197107103048,,,,,1.0,
B-513243444-N,BOUNDARY,513243444,N,1.0,1.0,132.43513099932096,34.374998484241694,,,,,1.0,
B-513243444-S,BOUNDARY,513243444,S,1.0,1.0,132.43703752941371,34.3707635896764,,,,,1.0,
B-513243444-W,BOUNDARY,513243444,W,1.0,0.0,132.43063783846236,34.37238091061852,,,,,1.0,
B-513243451-E,BOUNDARY,513243451,E,1.0,1.0,132.44421645025153,34.37015425915392,,,,,1.0,
B-513243451-N,BOUNDARY,513243451,N,1.0,1.0,132.43926732368158,34.371215155247654,,,,,1.0,
B-513243451-S,BOUNDARY,513243451,S,1.0,1.0,132.44182564092145,34.36653554337616,,,,,1.0,
B-513243451-W,BOUNDARY,513243451,W,1.0,1.0,132.43735112803145,34.36957745595833,,,,,1.0,
B-513243452-E,BOUNDARY,513243452,E,1.0,1.0,132.44963646422565,34.3700365856682,,,,,1.0,
B-513243452-N,BOUNDARY,513243452,N,1.0,1.0,132.44978782972538,34.3706015487669,,,,,1.0,
B-513243452-S,BOUNDARY,513243452,S,1.0,1.0,132.44503346753726,34.366548307352986,,,,,1.0,
B-513243452-W,BOUNDARY,513243452,W,1.0,1.0,132.44421645025153,34.37015425915392,,,,,1.0,
B-513243453-E,BOUNDARY,513243453,E,1.0,1.0,132.44361467929133,34.37231675444957,,,,,1.0,
B-513243453-N,BOUNDARY,513243453,N,1.0,1.0,132.43902475749576,34.375182617077115,,,,,1.0,
B-513243453-S,BOUNDARY,513243453,S,1.0,1.0,132.43926732368158,34.371215155247654,,,,,1.0,
B-513243453-W,BOUNDARY,513243453,W,1.0,1.0,132.43777429974804,34.37197107103048,,,,,1.0,
B-513243454-E,BOUNDARY,513243454,E,1.0,1.0,132.4499638769138,34.37398534950699,,,,,1.0,
B-513243454-N,BOUNDARY,513243454,N,1.0,1.0,132.44859697857913,34.37543661917236,,,,,1.0,
B-513243454-S,BOUNDARY,513243454,S,1.0,1.0,132.44424274388777,34.3707954310126,,,,,1.0,
B-513243454-W,BOUNDARY,513243454,W,1.0,1.0,132.44361467929133,34.37231675444957,,,,,1.0,
B-513243461-E,BOUNDARY,513243461,E,1.0,0.0,132.45875660902175,34.36567328538462,,,,,1.0,
B-513243461-N,BOUNDARY,513243461,N,1.0,1.0,132.45056904434486,34.37120961682935,,,,,1.0,
B-513243461-S,BOUNDARY,513243461,S,1.0,1.0,132.45017399048933,34.36681336867774,,,,,1.0,
B-513243461-W,BOUNDARY,513243461,W,1.0,1.0,132.44963646422565,34.3700365856682,,,,,1.0,
B-513243462-E,BOUNDARY,513243462,E,1.0,1.0,132.46243988402108,34.36751349832991,,,,,1.0,
B-513243462-N,BOUNDARY,513243462,N,1.0,1.0,132.4618706772621,34.37102473605643,,,,,1.0,
B-513243462-S,BOUNDARY,513243462,S,1.0,1.0,132.46126572467597,34.36660122343803,,,,,1.0,
