zone_id,boundary_type,side,is_present,boundary_id,kyoukaikukaku_kansen,kyoukaikukaku_sidouseikatudou,length_total_m,score
513243584,kansen,W,1,513243584_W,8243_8202_8603_8252,8189_8130_8260,6828.91,55.84
513243591,kansen,W,1,513243591_W,8005,8674,270.41,60.4
513243593,kansen,W,1,513243593_W,8202,8189_8248,404.26,55.12
513243632,kansen,W,0,513243632_W,9795,,723.85,0.0
513243634,kansen,W,0,513243634_W,9896,5317,2381.19,5.77
513243641,kansen,W,1,513243641_W,9795_9748_6901_9896,9924_6906_9768,9814.55,39.25
513243642,kansen,W,1,513243642_W,9748_9735_9989_9896,9924_9739_6899_9770,9660.03,43.97
513243643,kansen,W,1,513243643_W,10223_9794_9896_5465,10181_9768,9397.76,13.06
513243644,kansen,W,1,513243644_W,9794_9796_9896_5332,277_9770_5328,10062.01,15.66
513243651,kansen,W,1,513243651_W,163_104_17_9896,9739_68_3_159,9411.67,14.0
513243652,kansen,W,1,513243652_W,186_79_21_177,68_2369_173,6869.93,23.44
513243653,kansen,W,1,513243653_W,9796_191_9896_2665,277_3338_159_2640,10026.06,17.16
513243654,kansen,W,1,513243654_W,186_5010_177_2654,417_173_2647,6993.91,17.47
513243661,kansen,W,1,513243661_W,79_4864_8878_5152,4811,6640.83,11.2
513243662,kansen,W,1,513243662_W,4864_4882_4813_4920,8895_5200,7483.66,8.36
513243663,kansen,W,1,513243663_W,5010_4926_5152_5075,13734,6703.49,10.69
513243664,kansen,W,1,513243664_W,4964_5210_4920_13722,5200_13730,7806.12,14.4
513243671,kansen,W,1,513243671_W,4882_tran_2f214eaf-820c-452f-b33b-b81cfbe0958a_15601_tran_e1d10cab-2ca2-4d6c-89df-46782bd6d436,15613,7692.53,2.9
513243672,kansen,W,1,513243672_W,tran_2f214eaf-820c-452f-b33b-b81cfbe0958a_3700_tran_2b0554d8-cac9-4789-89d1-5849aca3f908_tran_7b7af5eb-7ee0-4790-92b8-622231325341,,5501.96,4.43
513243673,kansen,W,1,513243673_W,5210_tran_d687b5ee-d108-4216-9a5e-8a6bbd43f2a9_tran_e1d10cab-2ca2-4d6c-89df-46782bd6d436_tran_c8a35baa-289a-4bc0-823d-d6f7b22387eb,,8597.49,6.26
